instrument,date,total_volume,buying_volume,selling_volume,delta,product_code
BOF27-H27,1970-01-01,5925,3020,2905,115,BO
BOF27-K27,1970-01-01,1982,872,1110,-238,BO
BOF27-N27,1970-01-01,960,544,416,128,BO
BOF27-Q27,1970-01-01,43,16,27,-11,BO
BOF27-U27,1970-01-01,10,5,5,0,BO
BOH27-K27,1970-01-01,3724,2172,1552,620,BO
BOH27-N27,1970-01-01,1314,745,569,176,BO
BOH27-Q27,1970-01-01,125,63,62,1,BO
BOK27-N27,1970-01-01,5943,3797,2146,1651,BO
BOK27-Q27,1970-01-01,181,96,85,11,BO
BOK27-U27,1970-01-01,161,157,4,153,BO
BON27-Q27,1970-01-01,1749,861,888,-27,BO
BON27-U27,1970-01-01,177,88,89,-1,BO
BON27-Z27,1970-01-01,1418,449,969,-520,BO
BOQ27-U27,1970-01-01,1035,309,726,-417,BO
BOU27-V27,1970-01-01,635,354,281,73,BO
BOU27-Z27,1970-01-01,1,0,1,-1,BO
BOV26-F27,1970-01-01,3088,1484,1604,-120,BO
BOV26-H27,1970-01-01,2327,1428,899,529,BO
BOV26-K27,1970-01-01,283,119,164,-45,BO
BOV26-N27,1970-01-01,670,319,351,-32,BO
BOV26-Q27,1970-01-01,96,36,60,-24,BO
BOV26-U27,1970-01-01,2,1,1,0,BO
BOV26-V27,1970-01-01,4,0,4,-4,BO
BOV26-Z26,1970-01-01,25401,14578,10823,3755,BO
BOV27-Z27,1970-01-01,397,163,234,-71,BO
BOZ26-F27,1970-01-01,26608,11180,15428,-4248,BO
BOZ26-H27,1970-01-01,8972,3402,5570,-2168,BO
BOZ26-K27,1970-01-01,3172,1374,1798,-424,BO
BOZ26-N27,1970-01-01,10050,6146,3904,2242,BO
BOZ26-Q27,1970-01-01,495,222,273,-51,BO
BOZ26-U27,1970-01-01,398,172,226,-54,BO
BOZ26-Z27,1970-01-01,272,78,194,-116,BO
CNH27-K27,1970-01-01,18048,5783,12265,-6482,CN
CNH27-N27,1970-01-01,8321,3855,4466,-611,CN
CNH27-U27,1970-01-01,447,252,195,57,CN
CNH27-Z27,1970-01-01,1446,1126,320,806,CN
CNK27-N27,1970-01-01,9909,3842,6067,-2225,CN
CNK27-U27,1970-01-01,533,349,184,165,CN
CNK27-Z27,1970-01-01,254,121,133,-12,CN
CNN27-Z27,1970-01-01,2928,1787,1141,646,CN
CNU27-Z27,1970-01-01,3203,1925,1278,647,CN
CNZ26-H27,1970-01-01,67483,36001,31482,4519,CN
CNZ26-K27,1970-01-01,15475,7453,8022,-569,CN
CNZ26-N27,1970-01-01,13241,6380,6861,-481,CN
CNZ26-U27,1970-01-01,938,512,426,86,CN
CNZ26-Z27,1970-01-01,6727,2067,4660,-2593,CN
KWH27-K27,1970-01-01,2961,1417,1544,-127,KW
KWH27-N27,1970-01-01,622,357,265,92,KW
KWH27-U27,1970-01-01,159,97,62,35,KW
KWH27-Z27,1970-01-01,15,1,14,-13,KW
KWK27-N27,1970-01-01,2121,1079,1042,37,KW
KWK27-U27,1970-01-01,138,64,74,-10,KW
KWK27-Z27,1970-01-01,6,0,6,-6,KW
KWN27-U27,1970-01-01,609,308,301,7,KW
KWN27-Z27,1970-01-01,68,6,62,-56,KW
KWU27-Z27,1970-01-01,463,121,342,-221,KW
KWZ26-H27,1970-01-01,10961,6630,4331,2299,KW
KWZ26-K27,1970-01-01,2277,1068,1209,-141,KW
KWZ26-N27,1970-01-01,920,434,486,-52,KW
KWZ26-U27,1970-01-01,66,30,36,-6,KW
KWZ26-Z27,1970-01-01,1,0,1,-1,KW
SBF27-H27,1970-01-01,17223,6614,10609,-3995,SB
SBF27-K27,1970-01-01,3605,1944,1661,283,SB
SBF27-N27,1970-01-01,2472,1109,1363,-254,SB
SBF27-Q27,1970-01-01,85,39,46,-7,SB
SBF27-U27,1970-01-01,7,7,0,7,SB
SBF27-X27,1970-01-01,220,151,69,82,SB
SBH27-K27,1970-01-01,8148,4338,3810,528,SB
SBH27-N27,1970-01-01,2772,1390,1382,8,SB
SBH27-Q27,1970-01-01,79,50,29,21,SB
SBH27-U27,1970-01-01,22,16,6,10,SB
SBH27-X27,1970-01-01,71,40,31,9,SB
SBK27-N27,1970-01-01,6968,3175,3793,-618,SB
SBK27-Q27,1970-01-01,147,63,84,-21,SB
SBK27-U27,1970-01-01,10,5,5,0,SB
SBK27-X27,1970-01-01,87,21,66,-45,SB
SBN27-Q27,1970-01-01,757,378,379,-1,SB
SBN27-U27,1970-01-01,48,24,24,0,SB
SBN27-X27,1970-01-01,3791,1196,2595,-1399,SB
SBQ27-U27,1970-01-01,422,153,269,-116,SB
SBQ27-X27,1970-01-01,57,19,38,-19,SB
SBU27-X27,1970-01-01,912,404,508,-104,SB
SBX26-F27,1970-01-01,50176,20440,29736,-9296,SB
SBX26-H27,1970-01-01,20849,9175,11674,-2499,SB
SBX26-K27,1970-01-01,4244,2193,2051,142,SB
SBX26-N27,1970-01-01,5721,2856,2865,-9,SB
SBX26-Q27,1970-01-01,309,162,147,15,SB
SBX26-U27,1970-01-01,2,2,0,2,SB
SBX26-X27,1970-01-01,1081,570,511,59,SB
SMF27-H27,1970-01-01,15695,7531,8164,-633,SM
SMF27-K27,1970-01-01,1997,1062,935,127,SM
SMF27-N27,1970-01-01,1199,542,657,-115,SM
SMF27-Q27,1970-01-01,60,34,26,8,SM
SMF27-U27,1970-01-01,2,2,0,2,SM
SMF27-Z27,1970-01-01,55,55,0,55,SM
SMH27-K27,1970-01-01,6745,3835,2910,925,SM
SMH27-N27,1970-01-01,1764,1179,585,594,SM
SMH27-Q27,1970-01-01,31,16,15,1,SM
SMH27-U27,1970-01-01,3,0,3,-3,SM
SMH27-Z27,1970-01-01,16,11,5,6,SM
SMK27-N27,1970-01-01,5174,2573,2601,-28,SM
SMK27-Q27,1970-01-01,616,106,510,-404,SM
