instrument,open,high,low,close,date
BOF27-H27,0.12,0.35,-0.23,-0.11,1970-01-01
BOF27-K27,0.22,0.63,-0.31,-0.13,1970-01-01
BOF27-N27,0.43,1.03,-0.27,0.0,1970-01-01
BOF27-Q27,1.36,1.36,0.22,0.61,1970-01-01
BOF27-U27,1.22,1.75,0.91,1.14,1970-01-01
BOF27-Z27,2.89,3.25,1.89,2.38,1970-01-01
BOH27-K27,0.12,0.3,-0.13,-0.03,1970-01-01
BOH27-N27,0.33,0.68,-0.09,0.11,1970-01-01
BOH27-Q27,1.19,1.19,0.43,0.7,1970-01-01
BOH27-U27,1.22,1.71,1.22,1.71,1970-01-01
BOH27-V27,2.55,2.55,1.86,2.45,1970-01-01
BOH27-Z27,3.12,3.12,2.12,2.12,1970-01-01
BOK27-N27,0.23,0.41,0.0,0.12,1970-01-01
BOK27-Q27,0.91,1.2,0.49,0.72,1970-01-01
BOK27-U27,1.22,1.75,1.22,1.46,1970-01-01
BOK27-Z27,2.7,3.06,2.14,2.35,1970-01-01
BON27-Q27,0.59,0.8,0.42,0.58,1970-01-01
BON27-U27,1.34,1.61,0.93,1.24,1970-01-01
BON27-V27,2.21,2.23,2.13,2.23,1970-01-01
BON27-Z27,2.3,3.13,1.8,2.28,1970-01-01
BOQ27-U27,0.67,0.85,0.49,0.65,1970-01-01
BOQ27-V27,1.27,1.65,1.11,1.28,1970-01-01
BOQ27-Z27,1.98,2.15,1.45,1.98,1970-01-01
BOU26-F27,0.5,0.92,-0.71,-0.4,1970-01-01
BOU26-H27,0.58,1.26,-0.88,-0.3,1970-01-01
BOU26-K27,0.72,1.54,-0.97,-0.18,1970-01-01
BOU26-N27,0.93,1.91,-0.89,-0.21,1970-01-01
BOU26-Q27,1.46,1.61,-0.25,-0.25,1970-01-01
BOU26-U27,0.9,0.9,0.9,0.9,1970-01-01
BOU26-V26,0.24,0.3,-0.38,-0.28,1970-01-01
BOU26-Z26,0.43,0.74,-0.76,-0.45,1970-01-01
BOU27-V27,0.72,0.91,0.59,0.72,1970-01-01
BOU27-Z27,1.11,1.4,0.91,1.19,1970-01-01
BOV26-F27,0.23,0.74,-0.84,-0.68,1970-01-01
BOV26-H27,0.35,1.08,-1.04,-0.78,1970-01-01
BOV26-K27,0.46,1.36,-1.12,-0.82,1970-01-01
BOV26-N27,0.7,1.76,-1.02,-0.68,1970-01-01
BOV26-Q27,1.41,2.44,-0.45,-0.07,1970-01-01
BOV26-U27,1.53,1.53,0.16,0.16,1970-01-01
BOV26-V27,1.96,1.96,0.83,0.86,1970-01-01
BOV26-Z26,0.16,0.47,-0.55,-0.49,1970-01-01
BOV26-Z27,2.38,2.38,1.34,1.34,1970-01-01
BOV27-Z27,0.37,0.56,0.27,0.34,1970-01-01
BOZ26-F27,0.11,0.28,-0.32,-0.21,1970-01-01
BOZ26-H27,0.22,0.63,-0.55,-0.31,1970-01-01
BOZ26-K27,0.3,0.92,-0.65,-0.35,1970-01-01
BOZ26-N27,0.55,1.3,-0.55,-0.2,1970-01-01
BOZ26-Q27,1.24,1.88,0.04,0.41,1970-01-01
BOZ26-U27,1.4,2.09,0.67,1.0,1970-01-01
BOZ26-Z27,2.74,4.07,1.5,2.01,1970-01-01
CNH27-K27,-8.25,-5.5,-8.25,-6.5,1970-01-01
CNH27-N27,-12.25,-5.25,-12.25,-9.25,1970-01-01
CNH27-U27,3.25,25.5,3.25,18.25,1970-01-01
CNH27-Z27,-3.5,26.0,-3.5,14.75,1970-01-01
CNK27-N27,-3.75,0.5,-3.75,-2.5,1970-01-01
CNK27-U27,11.25,32.0,11.25,24.75,1970-01-01
CNK27-Z27,6.0,32.25,6.0,21.25,1970-01-01
CNN27-Z27,8.5,33.75,8.5,24.0,1970-01-01
CNU26-H27,-39.75,-35.75,-41.5,-36.0,1970-01-01
CNU26-K27,-48.25,-41.5,-48.75,-45.0,1970-01-01
CNU26-N27,-51.75,-42.25,-52.25,-46.25,1970-01-01
